MMSI,speed_mean,speed_std,speed_min,speed_max,speed_variance,total_distance_km,total_time_hrs,loitering_score,max_gap_hrs,total_gaps,gap_flag,position_jump_km,last_lat,last_lon,dist_from_port_km,behavioral_score,speed_consistency,VesselTypeLabel,VesselName,iso_risk_score,iso_flag,rendezvous_flag,rendezvous_risk,lstm_risk_score,lstm_flag,final_risk_score,final_flag
319662000,0.0,0.0,0.0,0.0,0.0,0.008,26.551,0.9997,21.851,1.0,1.0,0.0,18.28879,-65.63267,4.94,0.0,0.0,Pleasure,HAMPSHIRE,0.1522087772970242,0,0,0.0,3.4463287645049685e-06,0,0.0761,0
319664000,0.0012033694344163659,0.011963631161187817,0.0,0.2,0.00014312847056094065,4.756,146.447,0.9685,21.511,6.0,1.0,0.011,49.30671,-123.07591,5.22,0.9112,0.0019503817979490555,Pleasure,IMPROMPTU,0.013217109430623486,0,0,0.0,3.2452416669578306e-07,0,0.0066,0
319680000,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.07966,-63.09362,1.84,0.0,0.0,Pleasure,ETHEREAL,0.32876426076409426,0,0,0.0,5.926636546527061e-06,0,0.1644,0
319706000,11.696992481203008,0.5660789978096884,10.9,13.1,0.3204454317612209,58.352,2.711,0.0444,0.097,0.0,0.0,0.0,26.59908,-79.40402,69.5,0.0,0.0,Pleasure,TRANQUILLITY,0.5321714536870916,0,0,0.0,4.110249807245554e-05,0,0.2661,0
319715000,0.10051020408163265,0.07544564963726473,0.0,0.4,0.005692046049188908,44.8,145.502,0.7646,21.903,6.0,1.0,0.056,18.33633,-64.92117,2.03,0.3463,0.0374386829264889,Pleasure,CRACKER BAY,0.08156389964797639,0,0,0.0,2.3818392696340764e-06,0,0.0408,0
319720000,0.0009708737864077671,0.013934660285832354,0.0,0.2,0.0001941747572815525,0.447,146.06,0.997,21.701,6.0,1.0,0.001,32.6313,-117.10839,12.61,1.1528,0.0020430512054552823,Pleasure,DB9,0.0175933539516836,0,0,0.0,3.283154264208483e-07,0,0.0088,0
319725000,0.07195994277539343,0.09553360079168977,0.0,0.7,0.00912666888022602,56.622,146.328,0.721,21.467,6.0,1.0,0.005,18.33515,-64.92113,2.13,0.8357,0.0658624135756366,Pleasure,PARTY GIRL,0.07366645352894585,0,0,0.0,2.966232786616621e-06,0,0.0368,0
319729000,0.0,0.0,0.0,0.0,0.0,0.135,98.3,0.9986,21.6,4.0,1.0,0.004,26.09977,-80.11767,0.11,0.0,0.0,Pleasure,SEVEN SEAS,0.0888875898167909,0,0,0.0,7.248211388439577e-07,0,0.0444,0
319732000,0.0,0.0,0.0,0.0,0.0,0.42,146.261,0.9971,21.802,6.0,1.0,0.004,26.75098,-80.05001,1.74,0.0,0.0,Pleasure,LADY L,0.013309684014663148,0,0,0.0,4.6922764752558385e-07,0,0.0067,0
319742000,0.013154831199068686,0.033819595557141556,0.0,0.1,0.001143765043648624,0.042,146.367,0.9997,21.478,7.0,1.0,0.0,32.71473,-117.22896,5.07,0.2003,0.0028634758852745614,Pleasure,CHIMERA,0.03967365426075886,0,0,0.0,3.5386845336281137e-06,0,0.0198,0
319747000,0.0,0.0,0.0,0.0,0.0,0.033,146.35,0.9998,21.75,6.0,1.0,0.001,26.09951,-80.16125,4.95,0.0,0.0,Pleasure,BALAJU,0.014765226866205627,0,0,0.0,5.050330140028549e-07,0,0.0074,0
319752000,0.0,0.0,0.0,0.0,0.0,0.997,146.354,0.9932,21.601,6.0,1.0,0.001,26.70316,-80.04518,7.07,0.0,0.0,Pleasure,REVELRY,0.012713064752875036,0,0,0.0,5.532420508462332e-07,0,0.0064,0
319762000,0.013605442176870748,0.034401847239174874,0.0,0.1,0.0011834870934675221,2.283,146.356,0.9846,93.239,3.0,1.0,0.004,26.11458,-80.10841,1.86,0.8756,0.01266713923658225,Pleasure,M/Y SAINT NICOLAS,0.1869051116720546,0,0,0.0,6.418510334326947e-06,0,0.0935,0
319763000,1.8169491525423729,4.531832305852067,0.0,14.5,20.537504048364482,111.757,122.388,0.5227,21.518,6.0,1.0,52.631,26.12741,-79.00798,49.89,2.4389,5.360301528316497,Pleasure,AVIVA,0.4131869061029372,0,0,0.0,1.134839029531618e-05,0,0.2066,0
319793000,0.0,0.0,0.0,0.0,0.0,0.417,146.211,0.9972,21.55,6.0,1.0,0.004,26.13948,-80.10944,4.46,0.0,0.0,Pleasure,FOCUS,0.012094397349310282,0,0,0.0,5.301768026493761e-07,0,0.006,0
319822000,0.0,0.0,0.0,0.0,0.0,0.772,146.4,0.9948,21.949,6.0,1.0,0.001,27.45775,-80.32579,1.42,0.0,0.0,Pleasure,MINDERELLA,0.01691840576560133,0,0,0.0,4.4968160373580114e-07,0,0.0085,0
319838000,0.04649681528662421,0.0512198324463443,0.0,0.2,0.0026234712358315713,0.0,146.41,1.0,21.551,6.0,1.0,0.0,32.09583,-81.11317,3.59,0.134,0.0063437257014907185,Pleasure,FORTUNATE SUN,0.01685195096265868,0,0,0.0,1.1856216262907496e-06,0,0.0084,0
319844000,0.0018404907975460125,0.0134617070035967,0.0,0.1,0.00018121755545068334,1.09,146.409,0.9926,21.502,6.0,1.0,0.005,26.09857,-80.16612,5.49,0.7951,0.002232075610297004,Pleasure,PATIENCE,0.0038311432694029257,0,0,0.0,4.084460741267375e-07,0,0.0019,0
319856000,0.3071428571428571,0.2585887311313698,0.0,1.0,0.06686813186813187,0.481,145.503,0.9967,121.769,2.0,1.0,0.027,26.08691,-80.188,8.05,0.9455,0.17166127283867083,Pleasure,BLACK KNIGHT,0.3274129035425888,0,0,0.0,5.7964903993033495e-06,0,0.1637,0
319879000,0.0,0.0,0.0,0.0,0.0,0.007,1.549,0.9953,1.0,0.0,0.0,0.0,26.52044,-78.76117,2.5,0.0,0.0,Pleasure,ULYSSES,0.2579089248977696,0,0,0.0,5.866631619421559e-06,0,0.129,0
